VT,Plasmid,Name,Serotype,FullName
VT7815G,AiP32134,Bowen,,
VT7816G,AiP300006,Kanghoon,,
VT7817G,ExP300040,Anna,,
VT7818G,ExP300041,Anna,,
VT7819G,ExP300042,Anna,,
VT7820G,ExP300043,Anna,,
VT7821G,AiP5396,Chi Zhang,Retro,
VT7822C,AiP20295,Noah,,
VT7823C,AiP20296,Noah,,
VT7824C,AiP20297,Noah,,
VT7825C,AiP20298,Noah,,
VT7826C,AiP20299,Noah,,
VT7827C,AiP20300,Noah,,
VT7828C,AiP20301,Noah,,
VT7829C,AiP1677,Jada,,
VT7830C,AiP1687,Jada,,
VT7831C,AiP1836,Jada,,
VT7832C,AiP1996,Jada,,
VT7833C,AiP32135,Bowen,,
VT7834C,AiP32136,Bowen,,
VT7835C,AiP32137,Bowen,,
VT7836C,AiP32138,Bowen,,
VT7837C,AiP32139,Bowen,,
VT7838C,AiP20309,Jada,,
VT7839C,AiP20310,Jada,,
VT7840C,AiP20311,Jada,,
VT7841C,AiP20312,Jada,,
VT7842C,AiP20313,Jada,,
VT7843C,AiP20314,Jada,,
VT7844C,AiP20315,Jada,,
VT7845C,AiP20316,Jada,,
VT7846C,AiP20317,Jada,,
VT7847C,AiP13999,Refugio,,
VT7848C,AiP13781,Refugio,,
VT7849C,AiP13033,Refugio,,
VT7850C,AiP14801,Refugio,,
VT7851C,AiP11390,Kristen,,
VT7852C,AiP11839,Kristen,Retro,
VT7853G,AiP32140,Bowen,,
VT7854G,AiP1940,Jada,,
VT7855C,AiP32141,Bowen,,
VT7856C,AiP15907,Ximena,,
VT7857C,AiP15908,Ximena,,
VT7858C,AiP15883,Ximena,,
VT7859C,AiP15884,Ximena,,
VT7860C,AiP15885,Ximena,,
VT7861C,AiP15886,Ximena,,
VT7862C,AiP15887,Ximena,,
VT7863C,AiP15889,Ximena,,
VT7864C,AiP15891,Ximena,,
VT7865C,AiP15892,Ximena,,
VT7866C,AiP15893,Ximena,,
VT7867C,AiP15894,Ximena,,
VT7868C,AiP1848,Jada,,
VT7869C,AiP20318,Noah,,
VT7870C,AiP20319,Noah,,
VT7871C,AiP20320,Noah,,
VT7872C,AiP20321,Noah,,
VT7873C,AiP20322,Noah,,
VT7874C,AiP20323,Noah,,
